// ID_Icon,Float:X,Float:Y,FloatZ


// Airyard | Old_Airport
17, 384.6615, -1819.529, 6.8414
17, -1699.0, 1380.0, 6.0
17, -2524.0, 1216.0, 37.0
17, 1376.892, 2327.792, 9.822
17, 2368.058, 1983.185, 10.003
17, 681.544, -473.494, 15.592
17, -1941.516, 2379.672, 48.4922
17, -53.867, 1189.297, 18.414

// Marker_Emmets_Gun
18, 2447.364, -1974.496, 12.5469

//Girlfriend
21, 2401.965, -1723.22, 12.6005
21, -1799.5, 1195.5, 24.1094
21, -377.3978, -1438.692, 24.7209
21, -1398.101, 2636.873, 54.7031
21, -2576.808, 1144.744, 54.7422
21, 2035.362, 2732.411, 9.8203
21, -2027.583, -118.7022, 1034.0
21, 257.6682, -154.7475, 4.0786
21, -1410.1, 2648.731, 54.6875
21, -2291.708, -233.0215, 41.7185

// Trans_Fender
27, -2728.5, 212.2, 3.4
27, 2644.252, -2028.246, 12.5547

// Well_Stacked_Pizza
29, -1805.7, 943.2, 24.8
29, 2750.9, 2470.9, 11.0
29, 2351.8, 2529.0, 10.8
29, 2635.5, 1847.4, 11.0
29, 2083.4, 2221.0, 11.0
29, -1719.1, 1359.4, 8.6
29, 2330.2, 75.2, 31.0
29, 203.2, -200.4, 6.5

// School
36, 415.55, 2533.57, 19.18
36, -2031.2, -118.0, 34.3

// Tattoo_parloor
39, 1971.7, -2036.6, 13.5
39, 2071.6, -1779.9, 13.5
39, 2094.6, 2119.0, 10.8
39, -2490.5, -40.1, 39.3

// Clothes
45, -2376.4, 909.2, 45.4
45, 1654.0, 1733.4, 11.0
45, 2105.7, 2257.4, 11.0
45, -2371.1, 910.2, 47.2
45, 501.7, -1358.5, 16.4
45, 2818.6, 2401.5, 11.0
45, 2112.8, -1214.7, 23.9
45, 2772.0, 2447.6, 11.0
45, -2489.0, -26.9, 32.6

// Gym
54, 2228.0, -1722.811, 12.5543
54, -2269.4, -155.6, 35.3
54, 1968.6, 2292.1, 16.4

// Pay_N_Spray
63, 2067.4, -1831.2, 13.5
63, 488.0, -1734.0, 34.4
63, 720.016, -454.625, 15.328
63, -1420.547, 2583.945, 58.031
63, 1966.532, 2162.65, 10.995
63, -2425.46, 1020.83, 49.39
63, 1021.8, -1018.7, 30.9
63, -1908.9, 292.3, 40.0
63, -103.6, 1112.4, 18.7
// All -------------------------------------------------------------------------
38, 2515.07, -1673.98 , 12.71  // Sweet_House
34, 2459.55 , -1687.75, 12.56 // Ryder_House
28, 790.54, -1627.91, 12.39 // OG_Loc_Work
16, 1042.85, -1338.62, 12.55 // CRASH_LS
16, -2043.34, -2525.99, 29.62 //Angel_Pine
40, -922.5121, -1719.395, 76.5703 // Truth_Farm
16, -2030.402, 148.8279, 27.8359 // SF_garage
46, -2154.208, 645.3251, 51.3516 // Woozie_House
47, -2245.663, 128.8889, 34.3203 // Zero_RC_shop
43, -2030.402, 148.8279, 27.8359 // Triads_SF_Garage
16, -2623.497, 1405.66, 6.1016 // Jizzy_Club
33, -2026.811, -114.9093, 1034.179 // Driving_School
42, -685.2156, 923.2191, 11.1531 // Toreno | Tierra_Robada_Ranch
44, 1962.432, 974.675, 993.4688 // Triadas_Casino | The_Four_Dragons_Casino
52, 1962.398, 1060.962, 993.4688 // The_Four_Dragons_Casino_2
24, 2090.0, 1451.0, 9.8 // MadDog | Royal_Casino
16, 1598.557, 2667.83, 9.8203 // Prickle_Pine_Lv
25, 2270.634, 1635.599, 1007.367 // Mafia_Casino | Caligula_Palace
15, 1253.788, -785.2594, 91.0313 // Mad_Dogg_Crib
38, 2228.0, -1722.811, 12.5543 // LSGym_Icon

29, 2107.624, -1807.516, 21.2114 // Marker_Idlewood_Pizzeria
45, 2243.807, -1668.567, 20.0313 // Marker_Ganton_Clothes_Shop
